kode,nama,anggaran,satuan_kerja_id,tahun_kinerja
2.16.03,PROGRAM PENGELOLAAN APLIKASI INFORMATIKA,6407539466,26,2024
2.16.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,13270261014,26,2024
2.20.02,PROGRAM PENYELENGGARAAN STATISTIK SEKTORAL,681310900,26,2024
2.21.02,PROGRAM PENYELENGGARAAN PERSANDIAN UNTUK PENGAMANAN INFORMASI,600413900,26,2024
2.17.02,PROGRAM PELAYANAN IZIN USAHA SIMPAN PINJAM,119998800,27,2024
2.17.03,PROGRAM PENGAWASAN DAN PEMERIKSAAN KOPERASI,189198300,27,2024
2.17.04,PROGRAM PENILAIAN KESEHATAN KSP/USP KOPERASI,164999250,27,2024
2.17.05,PROGRAM PENDIDIKAN DAN LATIHAN PERKOPERASIAN,80000100,27,2024
2.17.06,PROGRAM PEMBERDAYAAN DAN PERLINDUNGAN KOPERASI,4430149874,27,2024
2.17.07,PROGRAM Pemberdayaan USAHA MENENGAH  USAHA KECIL  DAN USAHA MIKRO (UMKM),593569600,27,2024
2.17.08,PROGRAM PENGEMBANGAN UMKM,461759250,27,2024
2.17.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,526206050,27,2024
2.18.02,PROGRAM PENGEMBANGAN IKLIM PENANAMAN MODAL,13954209896,28,2024
2.18.03,PROGRAM PROMOSI PENANAMAN MODAL,675100150,28,2024
2.18.04,PROGRAM PELAYANAN PENANAMAN MODAL,601522535,28,2024
2.18.05,PROGRAM PENGENDALIAN PELAKSANAAN PENANAMAN MODAL,810123715,28,2024
2.18.06,PROGRAM PENGELOLAAN DATA DAN SISTEM INFORMASI PENANAMAN MODAL,1405925500,28,2024
2.18.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,267973220,28,2024
2.19.02,PROGRAM PENGEMBANGAN KAPASITAS DAYA SAING KEPEMUDAAN,14334351848,29,2024
2.19.03,PROGRAM PENGEMBANGAN DAYA SAING KEOLAHRAGAAN,1056140776,29,2024
2.19.04,PROGRAM PENGEMBANGAN KAPASITAS KEPRAMUKAAN,27861998218,29,2024
2.19.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,1020000000,29,2024
2.22.02,PROGRAM PENGEMBANGAN KEBUDAYAAN,12225180051,11,2024
2.22.03,PROGRAM PENGEMBANGAN KESENIAN TRADISIONAL,2566554269,11,2024
2.22.04,PROGRAM PEMBINAAN SEJARAH,432899258,11,2024
2.22.05,PROGRAM PELESTARIAN DAN PENGELOLAAN CAGAR BUDAYA,217950000,11,2024
2.22.06,PROGRAM PENGELOLAAN PERMUSEUMAN,1126571500,11,2024
2.22.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,1771341904,11,2024
2.23.02,PROGRAM PEMBINAAN PERPUSTAKAAN,13513855976,30,2024
2.23.03,PROGRAM PELESTARIAN KOLEKSI NASIONAL DAN NASKAH KUNO,1428759988,30,2024
2.23.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,454249780,30,2024
2.24.02,PROGRAM PENGELOLAAN ARSIP,24328476733,30,2024
2.24.03,PROGRAM PERLINDUNGAN DAN PENYELAMATAN ARSIP,799483100,30,2024
3.25.02,PROGRAM PENGELOLAAN KELAUTAN  PESISIR DAN PULAU-PULAU KECIL,150656748,31,2024
3.25.03,PROGRAM PENGELOLAAN PERIKANAN TANGKAP,2270737870,31,2024
3.25.04,PROGRAM PENGELOLAAN PERIKANAN BUDIDAYA,23578703121,31,2024
3.25.05,PROGRAM PENGAWASAN SUMBER DAYA KELAUTAN DAN PERIKANAN,8955169319,31,2024
3.25.06,PROGRAM PENGOLAHAN DAN PEMASARAN HASIL PERIKANAN,3638293500,31,2024
3.25.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,1970875728,31,2024
3.26.02,PROGRAM PENINGKATAN DAYA TARIK DESTINASI PARIWISATA,36201100790,20,2024
3.26.03,PROGRAM PEMASARAN PARIWISATA,2611633676,20,2024
3.26.04,PROGRAM PENGEMBANGAN EKONOMI KREATIF MELALUI PEMANFAATAN DAN PERLINDUNGAN HAK KEKAYAAN INTELEKTUAL,1358846800,20,2024
3.26.05,PROGRAM PENGEMBANGAN SUMBER DAYA PARIWISATA DAN EKONOMI KREATIF,1070780000,20,2024
3.26.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,700000000,20,2024
3.27.02,PROGRAM PENYEDIAAN DAN PENGEMBANGAN SARANA PERTANIAN,12240851040,32,2024
3.27.03,PROGRAM PENYEDIAAN DAN PENGEMBANGAN PRASARANA PERTANIAN,75491956488,32,2024
3.27.05,PROGRAM PENGENDALIAN DAN PENANGGULANGAN BENCANA PERTANIAN,13496768464,32,2024
3.27.06,PROGRAM PERIZINAN USAHA PERTANIAN,1482399052,32,2024
3.27.07,PROGRAM PENYULUHAN PERTANIAN,10227123420,32,2024
3.27.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,10227123420,32,2024
3.27.02,PROGRAM PENYEDIAAN DAN PENGEMBANGAN SARANA PERTANIAN,51703271309,33,2024
3.27.03,PROGRAM PENYEDIAAN DAN PENGEMBANGAN PRASARANA PERTANIAN,5620453458,33,2024
3.27.04,PROGRAM PENGENDALIAN KESEHATAN HEWAN DAN KESEHATAN MASYARAKAT VETERINER,3727051630,33,2024
3.27.05,PROGRAM PENGENDALIAN DAN PENANGGULANGAN BENCANA PERTANIAN,272531817,33,2024
3.27.07,PROGRAM PENYULUHAN PERTANIAN,43966805887,33,2024
3.27.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,10139013808,33,2024
3.28.03,PROGRAM PENGELOLAAN HUTAN,990503725,34,2024
