id,satuan_kerja_id,satuan_kerja_nama,lv0_jabatan_id,lv0_jabatan_nama,lv0_eselon_nm,lv1_unit_kerja_id,lv1_unit_kerja_nama,lv1_jabatan_id,lv1_jabatan_nama,lv1_eselon_nm,lv2_unit_kerja_id,lv2_unit_kerja_nama,lv2_jabatan_id,lv2_jabatan_nama,lv2_eselon_nm,lv3_unit_kerja_id,lv3_unit_kerja_nama,lv3_jabatan_id,lv3_jabatan_nama,lv3_eselon_nm,lv4_unit_kerja_id,lv4_unit_kerja_nama,lv4_jabatan_id,lv4_jabatan_nama,lv4_eselon_nm,lv5_unit_kerja_id,lv5_unit_kerja_nama,lv5_jabatan_id,lv5_jabatan_nama,lv5_eselon_nm,lv6_unit_kerja_id,lv6_unit_kerja_nama,lv6_jabatan_id,lv6_jabatan_nama,lv6_eselon_nm,lv7_unit_kerja_id,lv7_unit_kerja_nama,lv7_jabatan_id,lv7_jabatan_nama,lv7_eselon_nm,level,unit_kerja_kode,parent_id,jabatan_id,eselon_nm,kode_unit_kerja,eselon_id,jabatan_nama,unit_kerja_nama,gol_id_minimum,alamat,latitude,longitude,m_kabkot_id,nama_kota,unit_kerja_id_baru,status,unit_kerja_aktif_mulai,unit_kerja_aktif_selesai,kode_jabatan,created_at,updated_at
784,10,DINAS PENDIDIKAN,33499,KEPALA DINAS PENDIDIKAN,II.a,489,"CABANG DINAS PENDIDIKAN MENENGAH WILAYAH V KAB.BANGGAI, KAB. BANGGAI KEPULAUAN DAN KAB. BANGGAI LAUT",33502,"KEPALA CABANG DINAS PENDIDIKAN MENENGAH WILAYAH V KAB.BANGGAI, KAB. BANGGAI KEPULAUAN DAN KAB. BANGGAI LAUT",III.b,1053,SMA NEGERI 2 TOILI KAB. BANGGAI,34214,KEPALA SMA NEGERI 2 TOILI KAB. BANGGAI,,,,,,,,,,,,,,,,,,,,,,,,,,,2,SMA,489,34214,,1.03E+11,,KEPALA SMA NEGERI 2 TOILI KAB. BANGGAI,SMA NEGERI 2 TOILI KAB. BANGGAI,,"JL. SETIA BUDI, NO.9 PALU",,,,,,1,,,,,
785,33,DINAS PERKEBUNAN DAN PETERNAKAN,37689,KEPALA DINAS PERKEBUNAN DAN PETERNAKAN,II.a,886,UPT VETERINER,36591,KEPALA UPT VETERINER,III.a,888,SEKSI PELAYANAN KESEHATAN MASYARAKAT VETERINER,36594,KEPALA SEKSI PELAYANAN KESEHATAN MASYARAKAT VETERINER,IV.a,,,,,,,,,,,,,,,,,,,,,,,,,,2,,886,36594,IV.a,1.03E+11,41,KEPALA SEKSI PELAYANAN KESEHATAN MASYARAKAT VETERINER,SEKSI PELAYANAN KESEHATAN MASYARAKAT VETERINER,133,JL. R.A. KARTINI NO.25 & 31 PALU,,,,,,1,,,,,
786,16,DINAS SOSIAL,33907,KEPALA DINAS SOSIAL,II.a,855,BIDANG PERLINDUNGAN DAN JAMINAN SOSIAL,33959,KEPALA BIDANG PERLINDUNGAN DAN JAMINAN SOSIAL,III.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,16,33959,III.a,1.01E+11,31,KEPALA BIDANG PERLINDUNGAN DAN JAMINAN SOSIAL,BIDANG PERLINDUNGAN DAN JAMINAN SOSIAL,141,JL. PROF. MOH. YAMIN NO. 15 PALU,,,,,,1,,,,,
787,22,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL,33913,KEPALA DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL,II.a,869,SEKRETARIAT,33914,SEKRETARIS,III.a,870,SUB BAGIAN PERENCANAAN DAN KEUANGAN,33915,KEPALA SUB BAGIAN PERENCANAAN DAN KEUANGAN,IV.a,,,,,,,,,,,,,,,,,,,,,,,,,,2,,869,33915,IV.a,1.01E+11,41,KEPALA SUB BAGIAN PERENCANAAN DAN KEUANGAN,SUB BAGIAN PERENCANAAN DAN KEUANGAN,133,JL. DEWI SARTIKA NO.85 PALU,,,,,,1,,,,,
789,3,BADAN PENDAPATAN DAERAH,33784,KEPALA BADAN PENDAPATAN DAERAH,II.a,341,UPTD BADAN PENDAPATAN WILAYAH VIII,33854,KEPALA UPTD BADAN PENDAPATAN WILAYAH VIII,III.b,343,SEKSI PELAYANAN PAJAK KENDARAAN BERMOTOR DAN BEA BALIK NAMA KENDARAAN BERMOTOR,33856,KEPALA SEKSI PELAYANAN PAJAK KENDARAAN BERMOTOR DAN BEA BALIK NAMA KENDARAAN BERMOTOR,IV.a,,,,,,,,,,,,,,,,,,,,,,,,,,2,,341,33856,IV.a,1.03E+11,41,KEPALA SEKSI PELAYANAN PAJAK KENDARAAN BERMOTOR DAN BEA BALIK NAMA KENDARAAN BERMOTOR,SEKSI PELAYANAN PAJAK KENDARAAN BERMOTOR DAN BEA BALIK NAMA KENDARAAN BERMOTOR,133,JL. PROF. DR. MOH. YAMIN NO. 34 PALU,,,,,,1,,,,,
790,10,DINAS PENDIDIKAN,33499,KEPALA DINAS PENDIDIKAN,II.a,489,"CABANG DINAS PENDIDIKAN MENENGAH WILAYAH V KAB.BANGGAI, KAB. BANGGAI KEPULAUAN DAN KAB. BANGGAI LAUT",33502,"KEPALA CABANG DINAS PENDIDIKAN MENENGAH WILAYAH V KAB.BANGGAI, KAB. BANGGAI KEPULAUAN DAN KAB. BANGGAI LAUT",III.b,1064,SMA NEGERI 3 BANGGAI KAB. BANGGAI LAUT,34225,KEPALA SMA NEGERI 3 BANGGAI KAB. BANGGAI LAUT,,,,,,,,,,,,,,,,,,,,,,,,,,,2,SMA,489,34225,,1.03E+11,,KEPALA SMA NEGERI 3 BANGGAI KAB. BANGGAI LAUT,SMA NEGERI 3 BANGGAI KAB. BANGGAI LAUT,,"JL. SETIA BUDI, NO.9 PALU",,,,,,1,,,,,
791,36,DINAS ENERGI DAN SUMBER DAYA MINERAL,33744,KEPALA DINAS ENERGI DAN SUMBER DAYA MINERAL,II.a,635,SEKRETARIAT,33745,SEKRETARIS,III.a,636,SUB BAGIAN KEUANGAN DAN ASET,33746,KEPALA SUB BAGIAN KEUANGAN DAN ASET,IV.a,,,,,,,,,,,,,,,,,,,,,,,,,,2,,635,33746,IV.a,1.02E+11,41,KEPALA SUB BAGIAN KEUANGAN DAN ASET,SUB BAGIAN KEUANGAN DAN ASET,133,JL. SAM RATULANGI NO.25 PALU,,,,,,1,,,,,
792,33,DINAS PERKEBUNAN DAN PETERNAKAN,37689,KEPALA DINAS PERKEBUNAN DAN PETERNAKAN,II.a,886,UPT VETERINER,36591,KEPALA UPT VETERINER,III.a,889,SUB BAGIAN TATA USAHA,36597,KEPALA SUB BAGIAN TATA USAHA,IV.a,,,,,,,,,,,,,,,,,,,,,,,,,,2,,886,36597,IV.a,1.03E+11,41,KEPALA SUB BAGIAN TATA USAHA,SUB BAGIAN TATA USAHA,133,JL. R.A. KARTINI NO.25 & 31 PALU,,,,,,1,,,,,
793,30,DINAS PERPUSTAKAAN DAN KEARSIPAN DAERAH,33886,KEPALA DINAS PERPUSTAKAAN DAN KEARSIPAN DAERAH,II.a,694,SEKRETARIAT,33887,SEKRETARIS,III.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,30,33887,III.a,1.02E+11,31,SEKRETARIS,SEKRETARIAT,141,JL. BANTENG NO. 6 PALU,,,,,,1,,,,,
794,47,SATUAN POLISI PAMONG PRAJA,33981,KEPALA SATUAN POLISI PAMONG PRAJA,II.a,257,BIDANG PEMADAM KEBAKARAN DAN PENYELAMATAN,33998,KEPALA BIDANG PEMADAM KEBAKARAN DAN PENYELAMATAN,III.a,259,SEKSI PENYELAMATAN,34000,KEPALA SEKSI PENYELAMATAN,IV.a,,,,,,,,,,,,,,,,,,,,,,,,,,2,,257,34000,IV.a,SEKSI PENYELAMATAN,41,KEPALA SEKSI PENYELAMATAN,SEKSI PENYELAMATAN,133,JL. PRAMUKA NO.21 PALU,,,,,,1,,,,,
