"satuan_kerja_id","satuan_kerja_nama","lv0_jabatan_id","lv0_jabatan_nama","lv0_eselon_nm","lv1_unit_kerja_id","lv1_unit_kerja_nama","lv1_jabatan_id","lv1_jabatan_nama","lv1_eselon_nm","lv2_unit_kerja_id","lv2_unit_kerja_nama","lv2_jabatan_id","lv2_jabatan_nama","lv2_eselon_nm","lv3_unit_kerja_id","lv3_unit_kerja_nama","lv3_jabatan_id","lv3_jabatan_nama","lv3_eselon_nm","lv4_unit_kerja_id","lv4_unit_kerja_nama","lv4_jabatan_id","lv4_jabatan_nama","lv4_eselon_nm","lv5_unit_kerja_id","lv5_unit_kerja_nama","lv5_jabatan_id","lv5_jabatan_nama","lv5_eselon_nm","lv6_unit_kerja_id","lv6_unit_kerja_nama","lv6_jabatan_id","lv6_jabatan_nama","lv6_eselon_nm","lv7_unit_kerja_id","lv7_unit_kerja_nama","lv7_jabatan_id","lv7_jabatan_nama","lv7_eselon_nm","level","unit_kerja_kode","id","parent_id","jabatan_id","eselon_nm","kode_unit_kerja","eselon_id","jabatan_nama","unit_kerja_nama","gol_id_minimum","alamat","latitude","longitude","m_kabkot_id","nama_kota","unit_kerja_id_baru","status","unit_kerja_aktif_mulai","unit_kerja_aktif_selesai","kode_jabatan"
"2","BADAN KESATUAN BANGSA DAN POLITIK","33322","KEPALA BADAN KESATUAN BANGSA DAN POLITIK","II.a","22","SEKRETARIAT","33315","SEKRETARIS","III.a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"22","2","33315","III.a","103001000000",31,"SEKRETARIS","SEKRETARIAT",141,"JL. TANJUNG API NO. 7 PALU",,,,,,1,,,
"36","DINAS ENERGI DAN SUMBER DAYA MINERAL","33744","KEPALA DINAS ENERGI DAN SUMBER DAYA MINERAL","II.a","646","CABANG DINAS ENERGI DAN SUMBER DAYA MINERAL WILAYAH I","33930","KEPALA CABANG DINAS ENERGI DAN SUMBER DAYA MINERAL WILAYAH I","III.b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Cabang","646","36","33930","III.b","101707000000",32,"KEPALA CABANG DINAS ENERGI DAN SUMBER DAYA MINERAL WILAYAH I","CABANG DINAS ENERGI DAN SUMBER DAYA MINERAL WILAYAH I",134,"JL. SAM RATULANGI NO.25 PALU",,,,,,1,,,
"2","BADAN KESATUAN BANGSA DAN POLITIK","33322","KEPALA BADAN KESATUAN BANGSA DAN POLITIK","II.a","22","SEKRETARIAT","33315","SEKRETARIS","III.a","24","SUB BAGIAN KEUANGAN DAN ASET","33317","KEPALA SUB BAGIAN KEUANGAN DAN ASET","IV.a",,,,,,,,,,,,,,,,,,,,,,,,,,2,,"24","22","33317","IV.a","103001020000",41,"KEPALA SUB BAGIAN KEUANGAN DAN ASET","SUB BAGIAN KEUANGAN DAN ASET",133,"JL. TANJUNG API NO. 7 PALU",,,,,,1,,,
"5","BADAN KEPEGAWAIAN DAERAH","24454","KEPALA BADAN KEPEGAWAIAN DAERAH","II.a","11","SEKRETARIAT","33300","SEKRETARIS","III.a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"11","5","33300","III.a","103601000000",31,"SEKRETARIS","SEKRETARIAT",141,"JL. DR. SAM RATULANGI, NO. 63, PALU",,,,,,1,,,
"14","DINAS CIPTA KARYA DAN SUMBER DAYA AIR","33805","KEPALA DINAS CIPTA KARYA DAN SUMBER DAYA AIR","II.a","682","UPT SISTEM PENGELOLAAN AIR MINUM DAERAH","33837","KEPALA UPT SISTEM PENGELOLAAN AIR MINUM DAERAH","III.b","685","SEKSI PELAYANAN TEKNIS","33841","KEPALA SEKSI PELAYANAN TEKNIS","IV.a",,,,,,,,,,,,,,,,,,,,,,,,,,2,,"685","682","33841","IV.a","100506030000",41,"KEPALA SEKSI PELAYANAN TEKNIS","SEKSI PELAYANAN TEKNIS",133,"JL. PROF. MOH. YAMIN NO.33 PALU",,,,,,1,,,
"9","BADAN PENGHUBUNG","34016","SEKRETARIS DEWAN PERWAKILAN RAKYAT DAERAH","II.a","269","SUB BIDANG PROMOSI DAN INFORMASI DAERAH","33568","KEPALA SUB BIDANG PROMOSI DAN INFORMASI DAERAH","IV.a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"269","9","33568","IV.a","104003000000",41,"KEPALA SUB BIDANG PROMOSI DAN INFORMASI DAERAH","SUB BIDANG PROMOSI DAN INFORMASI DAERAH",133,"JL. BELAWAN NO. 15 JAKARTA",,,,,,1,,,
"14","DINAS CIPTA KARYA DAN SUMBER DAYA AIR","33805","KEPALA DINAS CIPTA KARYA DAN SUMBER DAYA AIR","II.a","670","BIDANG AIR MINUM DAN PENYEHATAN LINGKUNGAN PERMUKIMAN","33810","KEPALA BIDANG AIR MINUM DAN PENYEHATAN LINGKUNGAN PERMUKIMAN","III.a","672","SEKSI PENYEHATAN LINGKUNGAN PERMUKIMAN","33812","KEPALA SEKSI PENYEHATAN LINGKUNGAN PERMUKIMAN","IV.a",,,,,,,,,,,,,,,,,,,,,,,,,,2,,"672","670","33812","IV.a","100502020000",41,"KEPALA SEKSI PENYEHATAN LINGKUNGAN PERMUKIMAN","SEKSI PENYEHATAN LINGKUNGAN PERMUKIMAN",133,"JL. PROF. MOH. YAMIN NO.33 PALU",,,,,,1,,,
"18","DINAS PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK ","33338","KEPALA DINAS PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK ","II.a","81","BIDANG KUALITAS HIDUP PEREMPUAN DAN KUALITAS KELUARGA","33342","KEPALA BIDANG KUALITAS HIDUP PEREMPUAN DAN KUALITAS KELUARGA","III.a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"81","18","33342","III.a","100902000000",31,"KEPALA BIDANG KUALITAS HIDUP PEREMPUAN DAN KUALITAS KELUARGA","BIDANG KUALITAS HIDUP PEREMPUAN DAN KUALITAS KELUARGA",141,"JL. MANGUNSARKORO NO. 31. PALU",,,,,,1,,,
"1","BADAN PERENCANAAN PEMBANGUNAN DAERAH","33570","KEPALA BADAN PERENCANAAN PEMBANGUNAN DAERAH","II.a","227","SEKRETARIAT","33571","SEKRETARIS","III.a","228","SUB BAGIAN KEUANGAN DAN ASET","33572","KEPALA SUB BAGIAN KEUANGAN DAN ASET","IV.a",,,,,,,,,,,,,,,,,,,,,,,,,,2,,"228","227","33572","IV.a","103501010000",41,"KEPALA SUB BAGIAN KEUANGAN DAN ASET","SUB BAGIAN KEUANGAN DAN ASET",133,"JL. MOH. YAMIN NO. 7 PALU",,,,,,1,,,
"25","DINAS PERHUBUNGAN","33482","KEPALA DINAS PERHUBUNGAN","II.a","419","BIDANG ANGKUTAN DAN KESELAMATAN JALAN DAN PERKERETAAPIAN","33489","KEPALA BIDANG ANGKUTAN DAN KESELAMATAN JALAN DAN PERKERETAAPIAN","III.a","421","SEKSI ANGKUTAN JALAN DAN TERMINAL","33491","KEPALA SEKSI ANGKUTAN JALAN DAN TERMINAL","IV.a",,,,,,,,,,,,,,,,,,,,,,,,,,2,,"421","419","33491","IV.a","101603010000",41,"KEPALA SEKSI ANGKUTAN JALAN DAN TERMINAL","SEKSI ANGKUTAN JALAN DAN TERMINAL",133,"JL. R.A. KARTINI NO.35 PALU",,,,,,1,,,
"12","DINAS KESEHATAN","34343","KEPALA DINAS KESEHATAN","II.a","967","UPT RUMAH SAKIT UMUM DAERAH UNDATA","34390","KEPALA UPT RUMAH SAKIT UMUM DAERAH UNDATA","II.b","982","BAGIAN KEUANGAN","38702","KEPALA BAGIAN KEUANGAN","III.b","984","SUB BAGIAN VERIFIKASI DAN AKUNTANSI",,,,,,,,,,,,,,,,,,,,,,,,3,,"984","982",,,"100309020202",,,"SUB BAGIAN VERIFIKASI DAN AKUNTANSI",,"JL. R.A. KARTINI, NO.11 PALU",,,,,,0,,,
"2","BADAN KESATUAN BANGSA DAN POLITIK","33322","KEPALA BADAN KESATUAN BANGSA DAN POLITIK","II.a","25","BIDANG POLITIK","33318","KEPALA BIDANG POLITIK","III.a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"25","2","33318","III.a","103002000000",31,"KEPALA BIDANG POLITIK","BIDANG POLITIK",141,"JL. TANJUNG API NO. 7 PALU",,,,,,1,,,
"33","DINAS PERKEBUNAN DAN PETERNAKAN","37689","KEPALA DINAS PERKEBUNAN DAN PETERNAKAN","II.a","882","UPT BALAI PERBENIHAN TANAMAN PERKEBUNAN","36599","KEPALA UPT BALAI PERBENIHAN TANAMAN PERKEBUNAN","III.a","883","SEKSI PERBENIHAN TANAMAN REMPAH DAN SEMUSIM","36600","KEPALA SEKSI PERBENIHAN TANAMAN REMPAH DAN SEMUSIM","IV.a",,,,,,,,,,,,,,,,,,,,,,,,,,2,,"883","882","36600","IV.a","102610300000",41,"KEPALA SEKSI PERBENIHAN TANAMAN REMPAH DAN SEMUSIM","SEKSI PERBENIHAN TANAMAN REMPAH DAN SEMUSIM",133,"JL. R.A. KARTINI NO.25 & 31 PALU",,,,,,1,,,
"4","BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH","33412","KEPALA BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH","II.a","224","BIDANG PENGELOLAAN ASET DAERAH","33413","KEPALA BIDANG PENGELOLAAN ASET DAERAH","III.a","226","SUB BIDANG PENGHAPUSAN DAN PEMINDAHTANGANAN ASET DAERAH","33546","KEPALA SUB BIDANG PENGHAPUSAN DAN PEMINDAHTANGANAN ASET DAERAH","IV.a",,,,,,,,,,,,,,,,,,,,,,,,,,2,,"226","224","33546","IV.a","103305020000",41,"KEPALA SUB BIDANG PENGHAPUSAN DAN PEMINDAHTANGANAN ASET DAERAH","SUB BIDANG PENGHAPUSAN DAN PEMINDAHTANGANAN ASET DAERAH",133,"JL. SAM RATULANGI NO.101 PALU",,,,,,1,,,
"8","BADAN PENANGGULANGAN BENCANA DAERAH","33323","KEPALA BADAN PENANGGULANGAN BENCANA DAERAH","II.a","32","BIDANG PENCEGAHAN DAN KESIAPSIAGAAN","33327","KEPALA BIDANG PENCEGAHAN DAN KESIAPSIAGAAN","III.a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"32","8","33327","III.a","103102000000",31,"KEPALA BIDANG PENCEGAHAN DAN KESIAPSIAGAAN","BIDANG PENCEGAHAN DAN KESIAPSIAGAAN",141,"JL. M.T HARYONO NO.28, PALU",,,,,,1,,,
"14","DINAS CIPTA KARYA DAN SUMBER DAYA AIR","33805","KEPALA DINAS CIPTA KARYA DAN SUMBER DAYA AIR","II.a","690","UPT PENGELOLAAN SUMBER DAYA AIR WILAYAH II","33878","KEPALA UPT PENGELOLAAN SUMBER DAYA AIR WILAYAH II","III.b","692","SEKSI OPERASI DAN PEMELIHARAAN","33883","KEPALA SEKSI OPERASI DAN PEMELIHARAAN","IV.a",,,,,,,,,,,,,,,,,,,,,,,,,,2,,"692","690","33883","IV.a","100508020000",41,"KEPALA SEKSI OPERASI DAN PEMELIHARAAN","SEKSI OPERASI DAN PEMELIHARAAN",133,"JL. PROF. MOH. YAMIN NO.33 PALU",,,,,,1,,,
"23","DINAS PEMBERDAYAAN MASYARAKAT DAN DESA","33330","KEPALA DINAS PEMBERDAYAAN MASYARAKAT DAN DESA","II.a","35","SEKRETARIAT","33331","SEKRETARIS","III.a","37","SUB BAGIAN KEUANGAN DAN ASET","33333","KEPALA SUB BAGIAN KEUANGAN DAN ASET","IV.a",,,,,,,,,,,,,,,,,,,,,,,,,,2,,"37","35","33333","IV.a","101201020000",41,"KEPALA SUB BAGIAN KEUANGAN DAN ASET","SUB BAGIAN KEUANGAN DAN ASET",133,"JL. PROF. MOH. YAMIN NO.33 PALU",,,,,,1,,,
"8","BADAN PENANGGULANGAN BENCANA DAERAH","33323","KEPALA BADAN PENANGGULANGAN BENCANA DAERAH","II.a","34","BIDANG REHABILITASI DAN REKONSTRUKSI","33329","KEPALA BIDANG REHABILITASI DAN REKONSTRUKSI","III.a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"34","8","33329","III.a","103104000000",31,"KEPALA BIDANG REHABILITASI DAN REKONSTRUKSI","BIDANG REHABILITASI DAN REKONSTRUKSI",141,"JL. M.T HARYONO NO.28, PALU",,,,,,1,,,
"35","DINAS PERINDUSTRIAN DAN PERDAGANGAN","33359","KEPALA DINAS PERINDUSTRIAN DAN PERDAGANGAN","II.a","97","UPTD PENGUJIAN SERTIFIKASI MUTU BARANG","33368","KEPALA UPT PENGUJIAN SERTIFIKASI MUTU BARANG","III.b","100","SUB BAGIAN TATA USAHA","33369","KEPALA SUB BAGIAN TATA USAHA","IV.a",,,,,,,,,,,,,,,,,,,,,,,,,,2,"UPTD Tipe A","100","97","33369","IV.a","101506010000",41,"KEPALA SUB BAGIAN TATA USAHA","SUB BAGIAN TATA USAHA",133,"JL. R.A. KARTINI NO.18 PALU",,,,,,1,,,
"31","DINAS KELAUTAN DAN PERIKANAN","34250","KEPALA DINAS KELAUTAN DAN PERIKANAN","II.a","795","UPTD PELABUHAN PERIKANAN DAN KAWASAN KONSERVASI PESISIR DAN PULAU - PULAU KECIL WILAYAH I","34284","KEPALA UPTD PELABUHAN PERIKANAN DAN KAWASAN KONSERVASI PESISIR DAN PULAU - PULAU KECIL WILAYAH I","III.b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"","795","31","34284","III.b","102308000000",32,"KEPALA UPTD PELABUHAN PERIKANAN DAN KAWASAN KONSERVASI PESISIR DAN PULAU - PULAU KECIL WILAYAH I","UPTD PELABUHAN PERIKANAN DAN KAWASAN KONSERVASI PESISIR DAN PULAU - PULAU KECIL WILAYAH I",134,"JL. UNDATA NO.7 PALU",,,,,,1,,,
"10","DINAS PENDIDIKAN","33499","KEPALA DINAS PENDIDIKAN","II.a","489","CABANG DINAS PENDIDIKAN MENENGAH WILAYAH V KAB.BANGGAI, KAB. BANGGAI KEPULAUAN DAN KAB. BANGGAI LAUT","33502","KEPALA CABANG DINAS PENDIDIKAN MENENGAH WILAYAH V KAB.BANGGAI, KAB. BANGGAI KEPULAUAN DAN KAB. BANGGAI LAUT","III.b","24","SMA NEGERI 1 KINTOM KAB. BANGGAI","34175","KEPALA SMA NEGERI 1 KINTOM KAB. BANGGAI",,,,,,,,,,,,,,,,,,,,,,,,,,,2,"SMA","24","489","34175",,"102810070000",,"KEPALA SMA NEGERI 1 KINTOM KAB. BANGGAI","SMA NEGERI 1 KINTOM KAB. BANGGAI",,"JL. SETIA BUDI, NO.9 PALU",,,,,,1,,,
"35","DINAS PERINDUSTRIAN DAN PERDAGANGAN","33359","KEPALA DINAS PERINDUSTRIAN DAN PERDAGANGAN","II.a","96","BIDANG PENGEMBANGAN PERDAGANGAN DALAM NEGERI","33367","KEPALA BIDANG PENGEMBANGAN PERDAGANGAN DALAM NEGERI","III.a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"96","35","33367","III.a","101505000000",31,"KEPALA BIDANG PENGEMBANGAN PERDAGANGAN DALAM NEGERI","BIDANG PENGEMBANGAN PERDAGANGAN DALAM NEGERI",141,"JL. R.A. KARTINI NO.18 PALU",,,,,,1,,,
"17","DINAS TENAGA KERJA DAN TRANSMIGRASI","34947","KEPALA DINAS TENAGA KERJA DAN TRANSMIGRASI","II.a","716","BIDANG PEMBANGUNAN KAWASAN TRANSMIGRASI DAN PENATAAN PERSEBARAN PENDUDUK","34999","KEPALA BIDANG PEMBANGUNAN KAWASAN TRANSMIGRASI DAN PENATAAN PERSEBARAN PENDUDUK","III.a","717","SEKSI PENYIAPAN PRASARANA DAN SARANA PERMUKIMAN DAN KAWASAN TRANSMIGRASI","35005","KEPALA SEKSI PENYIAPAN PRASARANA DAN SARANA PERMUKIMAN DAN KAWASAN TRANSMIGRASI","IV.a",,,,,,,,,,,,,,,,,,,,,,,,,,2,,"717","716","35005","IV.a","100805010000",41,"KEPALA SEKSI PENYIAPAN PRASARANA DAN SARANA PERMUKIMAN DAN KAWASAN TRANSMIGRASI","SEKSI PENYIAPAN PRASARANA DAN SARANA PERMUKIMAN DAN KAWASAN TRANSMIGRASI",133,"JL. R.A. KARTINI NO. 98 PALU",,,,,,1,,,
"10","DINAS PENDIDIKAN","33499","KEPALA DINAS PENDIDIKAN","II.a","489","CABANG DINAS PENDIDIKAN MENENGAH WILAYAH V KAB.BANGGAI, KAB. BANGGAI KEPULAUAN DAN KAB. BANGGAI LAUT","33502","KEPALA CABANG DINAS PENDIDIKAN MENENGAH WILAYAH V KAB.BANGGAI, KAB. BANGGAI KEPULAUAN DAN KAB. BANGGAI LAUT","III.b","7","SMK NEGERI 1 BATUI SELATAN KAB. BANGGAI","34200","KEPALA SMK NEGERI 1 BATUI SELATAN KAB. BANGGAI",,,,,,,,,,,,,,,,,,,,,,,,,,,2,"SMK","7","489","34200",,"102810310000",,"KEPALA SMK NEGERI 1 BATUI SELATAN KAB. BANGGAI","SMK NEGERI 1 BATUI SELATAN KAB. BANGGAI",,"JL. SETIA BUDI, NO.9 PALU",,,,,,1,,,
"3","BADAN PENDAPATAN DAERAH","33784","KEPALA BADAN PENDAPATAN DAERAH","II.a","310","BIDANG PENGENDALIAN DAN EVALUASI PENDAPATAN DAERAH","33802","KEPALA BIDANG PENGENDALIAN DAN EVALUASI PENDAPATAN DAERAH","III.a","312","SUB BIDANG PENGENDALIAN SISTEM ADMINISTRASI PELAYANAN PENDAPATAN DAERAH","33804","KEPALA SUB BIDANG PENGENDALIAN SISTEM ADMINISTRASI PELAYANAN PENDAPATAN DAERAH","IV.a","312","SUB BIDANG PENGENDALIAN SISTEM ADMINISTRASI PELAYANAN PENDAPATAN DAERAH","33804","KEPALA SUB BIDANG PENGENDALIAN SISTEM ADMINISTRASI PELAYANAN PENDAPATAN DAERAH","IV.a",,,,,,,,,,,,,,,,,,,,,2,"","312","310","33804","IV.a","103405020000",41,"KEPALA SUB BIDANG PENGENDALIAN SISTEM ADMINISTRASI PELAYANAN PENDAPATAN DAERAH","SUB BIDANG PENGENDALIAN SISTEM ADMINISTRASI PELAYANAN PENDAPATAN DAERAH",133,"JL. PROF. DR. MOH. YAMIN NO. 34 PALU",,,,,,1,,,
"12","DINAS KESEHATAN","34343","KEPALA DINAS KESEHATAN","II.a","998","UPT RUMAH SAKIT MADANI PALU","34406","KEPALA UPT RUMAH SAKIT MADANI PALU","III.a","15","BIDANG PENUNJANG PELAYANAN","38708","KEPALA BIDANG PENUNJANG PELAYANAN","III.b","17","SEKSI PENUNJANG NON MEDIS","38710","KEPALA SEKSI PENUNJANG NON MEDIS","IV.a",,,,,,,,,,,,,,,,,,,,,3,,"17","15","38710","IV.a","100310030200",41,"KEPALA SEKSI PENUNJANG NON MEDIS","SEKSI PENUNJANG NON MEDIS",133,"JL. R.A. KARTINI, NO.11 PALU",,,,,,1,,,
"35","DINAS PERINDUSTRIAN DAN PERDAGANGAN","33359","KEPALA DINAS PERINDUSTRIAN DAN PERDAGANGAN","II.a","97","UPTD PENGUJIAN SERTIFIKASI MUTU BARANG","33368","KEPALA UPT PENGUJIAN SERTIFIKASI MUTU BARANG","III.b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"UPTD Tipe A","97","35","33368","III.b","101506000000",32,"KEPALA UPT PENGUJIAN SERTIFIKASI MUTU BARANG","UPTD PENGUJIAN SERTIFIKASI MUTU BARANG",134,"JL. R.A. KARTINI NO.18 PALU",,,,,,1,,,
"35","DINAS PERINDUSTRIAN DAN PERDAGANGAN","33359","KEPALA DINAS PERINDUSTRIAN DAN PERDAGANGAN","II.a","89","SEKRETARIAT","33360","SEKRETARIS","III.a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"89","35","33360","III.a","101501000000",31,"SEKRETARIS","SEKRETARIAT",141,"JL. R.A. KARTINI NO.18 PALU",,,,,,1,,,
"19","DINAS PANGAN","33900","KEPALA DINAS PANGAN","II.a","284","UPT PENGAWASAN, SERTIFIKASI MUTU DAN KEAMANAN PANGAN","33954","KEPALA UPT PENGAWASAN, SERTIFIKASI MUTU DAN KEAMANAN PANGAN","III.b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"UPTD Tipe A","284","19","33954","III.b","101005000000",32,"KEPALA UPT PENGAWASAN, SERTIFIKASI MUTU DAN KEAMANAN PANGAN","UPT PENGAWASAN, SERTIFIKASI MUTU DAN KEAMANAN PANGAN",134,"JL. PROF. MOH. YAMIN NO. 17 PALU",,,,,,1,,,
