program_id;kode;nama;satuan_kerja_id;anggaran;tahun_kinerja
616;5.01.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;1;1614244740;2026
617;5.01.02.1.01;Penyusunan Perencanaan dan Pendanaan;1;1668230880;2026
617;5.01.02.1.02;Analisis Data dan Informasi Pemerintahan Daerah Bidang Perencanaan Pembangunan Daerah;1;255794010;2026
617;5.01.02.1.03;Pengendalian, Evaluasi dan Pelaporan Bidang Perencanaan Pembangunan Daerah;1;602638000;2026
617;5.01.02.1.04;Implementasi Sistem Informasi Pemerintahan Daerah di Bidang Pembangunan Daerah;1;230976000;2026
618;5.01.03.1.01;Koordinasi Perencanaan Bidang Pemerintahan dan Pembangunan Manusia;1;4189516450;2026
618;5.01.03.1.02;Koordinasi Perencanaan Bidang Perekonomian dan SDA (Sumber Daya Alam);1;1762580951;2026
618;5.01.03.1.03;Koordinasi Perencanaan Bidang Infrastruktur dan Kewilayahan;1;892272650;2026
619;5.05.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;7;637499700;2026
619;5.05.01.1.02;Administrasi Keuangan Perangkat Daerah;7;9706804719;2026
"619;5.05.01.1.03;Administrasi Barang Milik Daerah pada

Perangkat Daerah;7;4437150;2026"
619;5.05.01.1.05;Administrasi Kepegawaian Perangkat Daerah;7;141159800;2026
619;5.05.01.1.06;Administrasi Umum Perangkat Daerah;7;579162430;2026
"619;5.05.01.1.07;Pengadaan Barang Milik Daerah Penunjang

Urusan Pemerintah Daerah;7;789249600;2026"
"619;5.05.01.1.08;Penyediaan Jasa Penunjang Urusan

Pemerintahan Daerah;7;292032500;2026"
619;5.05.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;7;692495000;2026
620;5.05.02.1.01;Penelitian dan Pengembangan Bidang Penyelenggaraan Pemerintahan dan Pengkajian Peraturan;7;0;2026
620;5.05.02.1.02;Penelitian dan Pengembangan Bidang Sosial dan Kependudukan;7;0;2026
620;5.05.02.1.03;Penelitian dan Pengembangan Bidang Ekonomi dan Pembangunan;7;0;2026
620;5.05.02.1.04;Pengembangan Inovasi dan Teknologi;7;0;2026
621;5.05.03.1.01;Penelitian, Pengembangan, Pengkajian, dan Penerapan;7;801767800;2026
621;5.05.03.1.02;Invensi dan Inovasi;7;1448217800;2026
622;1.03.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;13;299926200;2026
622;1.03.01.1.02;Administrasi Keuangan Perangkat Daerah;13;22563550912;2026
"622;1.03.01.1.03;Administrasi Barang Milik Daerah pada

Perangkat Daerah;13;99999850;2026"
622;1.03.01.1.05;Administrasi Kepegawaian Perangkat Daerah;13;150069700;2026
622;1.03.01.1.06;Administrasi Umum Perangkat Daerah;13;500041569;2026
"622;1.03.01.1.07;Pengadaan Barang Milik Daerah Penunjang

Urusan Pemerintah Daerah;13;438856800;2026"
"622;1.03.01.1.08;Penyediaan Jasa Penunjang Urusan

Pemerintahan Daerah;13;3065196790;2026"
622;1.03.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;13;749959000;2026
623;1.03.10.1.01;Penyelenggaraan Jalan Provinsi;13;114103321964;2026
624;1.03.11.1.01;Penyelenggaraan Pelatihan Tenaga Ahli Konstruksi;13;250000200;2026
624;1.03.11.1.02;Penyelenggaraan Sistem Informasi Jasa Konstruksi (SIPJAKI) Cakupan Daerah Provinsi;13;102391500;2026
624;1.03.11.1.03;Kebijakan Khusus Terhadap Penyelenggaraan Jasa Konstruksi;13;247608450;2026
625;1.03.12.1.01;Penetapan Rencana Tata Ruang Wilayah dan Rencana Rinci Tata Ruang Provinsi;13;174384516;2026
625;1.03.12.1.02;Koordinasi dan Sinkronisasi Perencanaan Tata Ruang;13;225615250;2026
625;1.03.12.1.03;Koordinasi dan Sinkronisasi Pemanfataan Ruang Daerah Provinsi;13;200000000;2026
625;1.03.12.1.04;Koordinasi dan Sinkronisasi Pengendalian Pemanfataan Ruang Daerah Provinsi;13;299999900;2026
626;1.03.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;14;140791664;2026
626;1.03.01.1.02;Administrasi Keuangan Perangkat Daerah;14;26236171907;2026
"626;1.03.01.1.03;Administrasi Barang Milik Daerah pada

Perangkat Daerah;14;66319468;2026"
626;1.03.01.1.05;Administrasi Kepegawaian Perangkat Daerah;14;61290000;2026
626;1.03.01.1.06;Administrasi Umum Perangkat Daerah;14;93081781;2026
"626;1.03.01.1.07;Pengadaan Barang Milik Daerah Penunjang

Urusan Pemerintah Daerah;14;20149096;2026"
"626;1.03.01.1.08;Penyediaan Jasa Penunjang Urusan

Pemerintahan Daerah;14;6284777867;2026"
626;1.03.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;14;231830940;2026
627;1.03.02.1.01;Pengelolaan SDA dan Bangunan Pengaman Pantai pada Wilayah Sungai Lintas Daerah Kabupaten/Kota;14;19612597667;2026
627;1.03.02.1.02;Pengembangan dan Pengelolaan Sistem Irigasi Primer dan Sekunder pada Daerah Irigasi yang Luasnya 1000 Ha-3000 Ha dan Daerah Irigasi Lintas Daerah Kabupaten/Kota;14;37543347005;2026
628;1.03.03.1.01;Pengelolaan dan Pengembangan Sistem Penyediaan Air Minum (SPAM) Lintas Kabupaten/Kota;14;1141346650;2026
629;1.03.04.1.01;Pengembangan Sistem dan Pengelolaan Persampahan Regional;14;750000000;2026
630;1.03.05.1.01;Pengelolaan dan Pengembangan Sistem Air Limbah Domestik Regional;14;1600000000;2026
631;1.03.06.1.01;Pengelolaan dan Pengembangan Sistem Drainase yang Terhubung Langsung dengan Sungai Lintas Daerah Kabupaten/Kota dan Kawasan Strategis Provinsi;14;7446005000;2026
632;1.03.07.1.01;Penyelenggaraan Infrastruktur pada Permukiman di Kawasan Strategis Daerah Provinsi;14;52701796000;2026
633;1.03.08.1.01;Penetapan dan Penyelenggaraan Bangunan Gedung untuk Kepentingan Strategis Daerah Provinsi;14;211687750;2026
