kegiatan_id;kode;nama;satuan_kerja_id;anggaran;tahun_kinerja
1387;8.01.01.1.07.0006;Pengadaan Peralatan dan Mesin Lainnya;2;679320;2026
1388;8.01.01.1.08.0002;Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik;2;112752000;2026
1388;8.01.01.1.08.0003;Penyediaan Jasa Peralatan dan Perlengkapan Kantor;2;102261033;2026
1388;8.01.01.1.08.0004;Penyediaan Jasa Pelayanan Umum Kantor;2;67200000;2026
1389;8.01.01.1.09.0001;Penyediaan Jasa Pemeliharaan, Biaya Pemeliharaan dan Pajak Kendaraan Perorangan Dinas atau Kendaraan Dinas Jabatan;2;679834000;2026
1389;8.01.01.1.09.0006;Pemeliharaan Peralatan dan Mesin Lainnya;2;53025000;2026
1390;8.01.02.1.01.0002;Perumusan Kebijakan Teknis di Bidang Ideologi Wawasan Kebangsaan, Bela Negara, Karakter Bangsa, Pembauran Kebangsaan, Bhineka Tunggal Ika dan Sejarah Kebangsaan;2;10000150;2026
1390;8.01.02.1.01.0003;Pelaksanaan Kebijakan di Bidang Ideologi Wawasan Kebangsaan, Bela Negara, Karakter Bangsa, Pembauran Kebangsaan, Bhineka Tunggal Ika dan Sejarah Kebangsaan;2;133548775;2026
1390;8.01.02.1.01.0004;Pelaksanaan Koordinasi di Bidang Ideologi Wawasan Kebangsaan, Bela Negara, Karakter Bangsa, Pembauran Kebangsaan, Bhineka Tunggal Ika dan Sejarah Kebangsaan;2;60338025;2026
1390;8.01.02.1.01.0005;Pelaksanaan Monitoring Evaluasi dan Pelaporan di Bidang Ideologi Wawasan Kebangsaan, Bela Negara, Karakter Bangsa, Pembauran Kebangsaan, Bhineka Tunggal Ika dan Sejarah Kebangsaan;2;72204850;2026
1390;8.01.02.1.01.0006;Pembentukan dan Penumbuhan Karakter Keluarga Melalui Peningkatan Kesadaran Masyarakat akan Pentingnya Penghayatan dan Pengamalan Pancasila dalam Semua Aspek Kehidupan Bermasyarakat, Berbangsa, dan Bernegara;2;118950025;2026
1390;8.01.02.1.01.0007;Pengangkatan Purnapaskibraka Duta Pancasila;2;33279750;2026
1390;8.01.02.1.01.0008;Pembinaan terhadap aktivitas kepaskibrakaan dan  Purnapaskibraka;2;40883500;2026
1390;8.01.02.1.01.0009;Pelaksanaan tugas Paskibraka;2;129849100;2026
1390;8.01.02.1.01.0010;Pelaksanaan tugas Purnapaskibraka Duta Pancasila;2;0;2026
1390;8.01.02.1.01.0011;Pembinaan Lanjutan kepada Purnapaskibraka Duta  Pancasila;2;0;2026
1390;8.01.02.1.01.0012;Pembentukan Paskibraka;2;999999850;2026
1391;8.01.03.1.01.0002;Penyusunan Bahan Perumusan Kebijakan di Bidang Pendidikan Politik, Etika Budaya Politik, Peningkatan Demokrasi, Fasilitasi Kelembagaan Pemerintahan, Perwakilan dan Partai Politik, Pemilihan Umum/Pemilihan Umum Kepala Daerah, serta Pemantauan Situasi Politik di Daerah;2;1532250000;2026
1391;8.01.03.1.01.0003;Pelaksanaan Kebijakan di Bidang Pendidikan Politik, Etika Budaya Politik, Peningkatan Demokrasi, Fasilitasi Kelembagaan Pemerintahan, Perwakilan dan Partai Politik, Pemilihan Umum/Pemilihan Umum Kepala Daerah, serta Pemantauan Situasi Politik di Daerah;2;84794000;2026
1391;8.01.03.1.01.0004;Pelaksanaan Koordinasi di Bidang Pendidikan Politik, Etika Budaya Politik, Peningkatan Demokrasi, Fasilitasi Kelembagaan Pemerintahan, Perwakilan dan Partai Politik, Pemilihan Umum/Pemilihan Umum Kepala Daerah, serta Pemantauan Situasi Politik di Daerah;2;234508450;2026
1391;8.01.03.1.01.0005;Pelaksanaan Monitoring, Evaluasi dan Pelaporan di Bidang Pendidikan Politik, Etika Budaya Politik, Peningkatan Demokrasi, Fasilitasi Kelembagaan Pemerintahan, Perwakilan dan Partai Politik, Pemilihan Umum/Pemilihan Umum Kepala Daerah, serta Pemantauan Situasi Politik di Daerah;2;153389900;2026
1392;8.01.04.1.01.0002;Penyusunan Bahan Perumusan Kebijakan Dibidang Pendaftaran Ormas, Pemberdayaan Ormas, Evaluasi dan Mediasi Sengketa Ormas, Pengawasan Ormas dan Ormas Asing di Daerah;2;1800000000;2026
1392;8.01.04.1.01.0003;Pelaksanaan Kebijakan Dibidang Pendaftaran Ormas, Pemberdayaan Ormas, Evaluasi dan Mediasi Sengketa Ormas, Pengawasan Ormas dan Ormas Asing di Daerah;2;91177300;2026
1392;8.01.04.1.01.0004;Pelaksanaan Koordinasi Dibidang Pendaftaran Ormas, Pemberdayaan Ormas, Evaluasi dan Mediasi Sengketa Ormas, Pengawasan Ormas dan Ormas Asing di Daerah;2;74535100;2026
1392;8.01.04.1.01.0005;Pelaksanaan Monitoring Evaluasi dan Pelaporan Dibidang Pendaftaran Ormas, Pemberdayaan Ormas, Evaluasi dan Mediasi Sengketa Ormas, Pengawasan Ormas dan Ormas Asing di Daerah;2;85616850;2026
1393;8.01.05.1.01.0003;Pelaksanaan Kebijakan di Bidang Ketahanan Ekonomi, Sosial, Budaya dan Fasilitasi Pencegahan Penyalagunaan Narkotika, Fasilitasi Kerukunan Umat Beragama dan Penghayat Kepercayaan di Daerah;2;73858950;2026
1393;8.01.05.1.01.0004;Pelaksanaan Koordinasi di Bidang Ketahanan Ekonomi, Sosial, Budaya dan Fasilitasi Pencegahan Penyalagunaan Narkotika, Fasilitasi Kerukunan Umat Beragama dan Penghayat Kepercayaan di Daerah;2;76272950;2026
1393;8.01.05.1.01.0005;Pelaksanaan Monitoring, Evaluasi dan Pelaporan di Bidang Ketahanan Ekonomi, Sosial, Budaya dan Fasilitasi Pencegahan Penyalagunaan Narkotika, Fasilitasi Kerukunan Umat Beragama dan Penghayat Kepercayaan di Daerah;2;94958950;2026
1394;8.01.06.1.01.0002;Penyusunan Bahan Perumusan Kebijakan di Bidang Kewaspadaan Dini, Kerja Sama Intelijen, Pemantauan Orang Asing, Tenaga Kerja Asing dan Lembaga Asing, Kewaspadaan Perbatasan Antar Negara, Fasilitasi Kelembagaan Bidang Kewaspadaan, serta Penanganan Konflik di Daerah;2;27876600;2026
1394;8.01.06.1.01.0003;Pelaksanaan Kebijakan di Bidang Kewaspadaan Dini, Kerja Sama Intelijen, Pemantauan Orang Asing, Tenaga Kerja Asing dan Lembaga Asing, Kewaspadaan Perbatasan Antar Negara, Fasilitasi Kelembagaan Bidang Kewaspadaan, serta Penanganan Konflik di Daerah;2;68978500;2026
1394;8.01.06.1.01.0004;Pelaksanaan Koordinasi di Bidang Kewaspadaan Dini, Kerja Sama Intelijen, Pemantauan Orang Asing, Tenaga Kerja Asing dan Lembaga Asing, Kewaspadaan Perbatasan Antar Negara, Fasilitasi Kelembagaan Bidang Kewaspadaan, serta Penanganan Konflik di Daerah;2;175542050;2026
1394;8.01.06.1.01.0005;Pelaksanaan Monitoring, Evaluasi dan Pelaporan di Bidang Kewaspadaan Dini, Kerja Sama Intelijen, Pemantauan Orang Asing, Tenaga Kerja Asing dan Lembaga Asing, Kewaspadaan Perbatasan Antar Negara, Fasilitasi Kelembagaan Bidang Kewaspadaan, serta Penanganan Konflik di Daerah;2;153195600;2026
1394;8.01.06.1.01.0006;Pelaksanaan Forum Koordinasi Pimpinan Daerah Provinsi;2;344409050;2026
1395;1.05.01.1.01.0001;Penyusunan Dokumen Perencanaan Perangkat Daerah;8;22900500;2026
1395;1.05.01.1.01.0002;Koordinasi dan Penyusunan Dokumen RKA- SKPD;8;0;2026
1395;1.05.01.1.01.0004;Koordinasi dan Penyusunan DPA-SKPD;8;150000150;2026
1395;1.05.01.1.01.0006;Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD;8;0;2026
1395;1.05.01.1.01.0007;Evaluasi Kinerja Perangkat Daerah;8;60198500;2026
